SONIKA	ಸೋನಿಕಾ
JAI GANESH	ಜೈ ಗಣೇಶ್
MALLAH	ಮಲ್ಲಾಹ್
BHUPEN	ಭೂಪೇನ್
RANAKPUR SANCHAUR	ರಾನಕ್ಪುರ್ ಸಂಚಾರ್
BOMBO	ಬಾಂಬೋ
THERMAX	ಥರ್ಮ್ಯಾಕ್ಸ್
CHAMKEE	ಚಮ್ಕಿ
Moterwali	ಮೋಟರವಾಲೀ
RAKTIKAA	ರಕ್ತಿಕಾ
LILY	ಲಿಲಿ
BANAVAAREELAAL	ಬನ್ವಾರಿಲಾಲ್
BUNAKEN	ಬುನಾಕೇನ್
PROTACTINIUM	ಪ್ರೊಟ್ಯಾಕ್ಟಿನಿಯಂ
FORDON	ಫೋರ್ಡನ್
EVERS	ಇವರ್ಸ್
RIANNA	ರಿಯಾನ್ನಾ
TAAN	ತಾನ್
FANIE DE VILLIERS	ಫ್ಯಾನೀ ಡಿ ವಿಲಿಯರ್ಸ್
JAKARTA	ಜಕಾರ್ತ
JAKARTA	ಜಕಾರ್ತಾ
EKADASHI	ಏಕಾದಶಿ
PUJARIN	ಪುಜಾರಿನ್
JAAN	ಜಾನ್
JAHDAMAH	ಜಾದ್ಮಾ
ETMADPUR	ಇಟಮಾಪುರ್
MAAN	ಮಾನ್
EVAN GRAY	ಈವನ್ ಗ್ರೇ
JANAN	ಜನನ್
GUJ HEAVY CHEM	ಗುಜ್ ಹೆವಿ ಕೆಮ್
BHARATH REDDY	ಭಾರತ್ ರೆಡ್ಡಿ
HARBHAJAN SINGH	ಹರ್ಭಜನ್ ಸಿಂಗ್
MAZIN	ಮಾಝಿನ್
AABHAA	ಆಭಾ
BARAMUA	ಬಾರಾಮುವಾ
PRINCE OF WALES	ಪ್ರಿನ್ಸ್ ಆಫ್ ವೇಲ್ಸ್
HATIMTAI	ಹಾತಿಮತಾಯಿ
JOHN JANI JANARDAN	ಜಾನ್ ಜಾನಿ ಜನಾರ್ದನ್
BASS STRAIT	ಬಾಸ್ ಸ್ಟ್ರೇಟ್
UTTAR	ಉತ್ತರ್
ASHRAF ALI	ಅಶ್ರಫ್ ಅಲಿ
CODIAC	ಕೊಡೈಕ್
ABDUL WAJEED	ಅಬ್ದುಲ್ ವಜೀದ್
SYDNEY	ಸಿಡ್ನಿ
BAGHI HASEENA	ಬಾಗೀ ಹಸೀನಾ
SANDURI	ಸಂಡುರಿ
APMAAN	ಅಪಮಾನ್
KAHMA	ಕಾಹ್ಮಾ
ATIFA	ಅತಿಫಾ
CHARBHUJA ROAD	ಚಾರ್‌ಭುಜಾ ರೋಡ್
INKAAR	ಇಂಕಾರ್
RASEEM	ರಸೀಂ
KAPISH	ಕಪೀಶ
TSITSIKAMMA	ಸಿಟ್ಸಿಕಮ್ಮ
SHIVANGI	ಶಿವಾಂಗಿ
COLUMBIA RIVER	ಕೊಲಂಬಿಯಾ ರಿವರ್
ADITY	ಆದಿತ್ಯ
VAFI	ವಾಫಿ
WAFI	ವಾಫೀ
KIARA	ಕಿಯಾರ
ROOKIE OF THE YEAR AWARD	ರೂಕಿ ಆಫ್ ದಿ ಇಯರ್ ಅವಾರ್ಡ್
MAHAMAYA	ಮಹಾಮಾಯಾ
Shewade	ಶೆವಾಡೆ
Bal	ಬಲ್
STEVE RHODES	ಸ್ಟೀವ್ ರೋಡ್ಸ್
GUMWANT	ಗುಣವಂತ್
GRAND TOYS INTERNATIONAL	ಗ್ರಾಂಡ್ ಟಾಯ್ಸ್ ಇಂಟರ್ನ್ಯಾಷನಲ್
AASWADEKAR	ಆಸ್ವಾಧೆಕರ್
NISAL FERNANDO	ನಿಸಲ್ ಫರ್ನಾಂಡೊ
MIA	ಮಿಯಾ
Mu'azzam	ಮುಅಜ್ಜಮ್
MAATI BALIDAN KI	ಮಾಟಿ ಬಲಿದಾನ್ ಕಿ
STUART MATSIKENYERI	ಸ್ಟುವರ್ಟ್ ಮಾಟ್ಸಿಕೆನ್ಯರಿ
SAWINI	ಸಾವಿನಿ
FAULADI MUKKA	ಫೌಲಾದೀ ಮುಕ್ಕಾ
YASIR ARAFAT	ಯಾಸಿರ್ ಅರಾಫತ್
MARY LAO RATON	ಮೇರಿ ಲೋವೋ ರೇಟಾನ್
TRIGUNA	ತ್ರಿಗುಣ
SCHWABEN	ಸ್ಕ್ವಾಬೆನ್
ABHIJVAALAA	ಅಭಿಜ್ವಾಲಾ
Shakunee	ಶಕುನೀ
DAYAVAN	ದಯಾವಾನ್
SHIV RATRI	ಶಿವ ರಾತ್ರಿ
MANISHA	ಮನಿಶಾ
ANWESHA	ಅನ್ವೇಷ
Naaraayananaath	ನಾರಾಯಣನಾಥ
MEHARBANI	ಮೆಹರಬಾನೀ
LADIES ONLY	ಲೇಡೀಸ್ ಓನ್ಲಿ
EK THI LADKI	ಏಕ್ ಥಿ ಲಡಕಿ
BALAVANT	ಬಲವಂತ್
BALAWANT	ಬಲವಂತ್
URA	ಉರಾ
MERVYN DILLON	ಮರ್ವಿನ್ ದಿಲ್ಲಾನ್
NATIONAL MUSEUM OF CHINA	ನ್ಯಾಶನಲ್ ಮ್ಯೂಸಿಯಂ ಆಫ್ ಚೈನಾ
GORGES	ಗೋರ್ಜಸ್
NAGIN AUR SAPERA	ನಾಗಿನ್ ಔರ್ ಸಪೆರಾ
CARADOC	ಕಾರಡೊಕ್
DEVARSI	ದೇವರ್ಶೀ
BURNPUR	ಬುರ್ನಪುರ್
POORNACHANDRA	ಪೂರ್ಣಚಂದ್ರ
Raamaveer	ರಾಮವೀರ್
TALA	ಟಾಲಾ
HAMARA ADHIKAR	ಹಮಾರಾ ಅಧಿಕಾರ್
PULASTYA	ಪುಲಸ್ತ್ಯ
LALA	ಲಾಲಾ
SACH	ಸಚ್
EKRAM	ಎಕ್ರಮ್
EKRAM	ಏಕ್ರಾಮ್
AJMANI	ಅಜ್ಮಾನಿ
AGORI KHAS	ಅಗೋರಿಖಾಸ್
JENIBELLE	ಜೆನೀಬೆಲ್ಲಾ
SAMPOORNA RAANA	ಸಂಪೂರ್ಣ ರಾನಾ
TIMES MULTIMEDIA	ಟೈಮಸ್ ಮಲ್ಟಿಮೀಡಿಯ
DUDLEY	ಡುಡ್ಲೆ
SIDHDH	ಸಿದ್ಧ
CHLORINE	ಕ್ಲೋರಿನ್
DERBY	ಡರ್ಬಿ
Ghai	ಘಯ್
ALIYAH	ಅಲಿಯಾ
FILLER	ಫಿಲ್ಲರ್
SARA JAHAN HAMARA	ಸಾರಾ ಜಹಾ ಹಮಾರಾ
MILEK	ಮಿಲೆಕ್
BHEEM	ಭೀಮ್
HAAR JEET	ಹಾರ್ ಜೀತ್
JWAR BHATA	ಜ್ವಾರ್ ಭಾಟಾ
AKALMASH	ಅಕಲ್ಮಶ್
UNIVERSITY OF GLASGOW	ಯುನಿವರ್ಸಿಟಿ ಆಫ್ ಗ್ಲಾಸ್ಗೋ
DWIGHT	ಡ್ವೈಟ್
BADRI	ಬದ್ರಿ
DAKU BHUPAT	ಡಾಕೂ ಭೂಪತ್
Ronia	ರೋನಿಯಾ
CATRIN	ಕೇಟ್ರಿನ್
RAMESH	ರಮೇಶ್
SHAILASUTAA	ಶೈಲಸುತಾ
JUNYO	ಜುನ್ಯು
BHANWAR	ಭಂವಾರ್
RISHTE NAATE	ರಿಶ್ತೆ ನಾತೆ
SAATVIK	ಸಾತ್ವಿಕ್
BAHADUR PRATAP	ಬಹಾದೂರ್ ಪ್ರತಾಪ್
RAMU USTAD	ರಾಮೂ ಉಸ್ತಾದ್
AAKHRI NISHCHAY	ಆಖಿರಿ ನಿಶ್ಚಯ್
JULIE	ಜೂಲಿ
KANAKABATI	ಕನಕಬತಿ
MAA KA PYAR	ಮಾ ಕಾ ಪ್ಯಾರ್
GIRISH	ಗಿರೀಶ್
SAWAN AYA RE	ಸಾವನ್ ಆಯಾ ರೆ
UNION BANK	ಯೂನಿಯನ್ ಬ್ಯಾಂಕ್
NITYA	ನಿತ್ಯ
DEITER	ಡೀಟರ್
FLYING CIRCUS	ಫ್ಲೈಯಿಂಗ್ ಸರ್ಕಸ್
Turner	ಟರ್ನರ್
ISHAQ	ಇಶಾಕ್
MULTANI	ಮುಲ್ತಾನಿ
Humaam	ಹುಮಾಮ್
ERNIE	ಎರ್ನೀ
Nalavade	ನಲಾವಡೆ
ISHAN	ಈಶನ್
SPAIN	ಸ್ಪೈನ್
KRISHNAKANTA	ಕೃಷ್ಣಕಾಂತ
LUCRECE	ಲ್ಯೂಕ್ರೀಸ್
JULIA CHILD	ಜೂಲಿಯಾ ಚೈಲ್ಡ್
LEV	ಲೆವ್
PATIALA	ಪಾಟಿಯಾಲ
CHANDANIKA	ಚಾಂದನಿಕಾ
ANJALEE	ಅಂಜಲೀ
KHUBAYB	ಖುಬೇಬ್
Murshidabad	ಮುರ್ಷಿದಾಬಾದ್
DEV	ದೆವ್್
DEV	ದೇವ್
CORDELL	ಕಾರ್ಡೆಲ್
SUPARNAK	ಸುಪರ್ಣಕ್
MAHINDRA GESCO DEVELOPERS	ಮಹೀಂದ್ರಾ ಜೆಸ್ಕೊ ಡೆವಲಪರ್ಸ್
ALANA	ಅಲಾನಾ
Pudhari	ಪುಢಾರಿ
EXETER	ಎಕ್ಸೀಟರ್
Amuly	ಅಮೂಲ್ಯ
RAJDULARI	ರಾಜದುಲಾರಿ
FOOLAN	ಫೂಲನ್
JAALI NOTE	ಜಾಲಿನೋಟ್
SURJOT	ಸುರ್ಜೋತ್
FRANCIS FORD COPPOLA	ಫ್ರಾನ್ಸಿಸ್ ಫೋರ್ಡ್ ಕೋಪೋಲಾ
Raamavilaas	ರಾಮವಿಲಾಸ್
MAIN BHI LADKI HOON	ಮೈ ಭೀ ಲಡಕೀ ಹೂ
RANJAN	ರಂಜನ್
SARKARI MEHMAN	ಸರಕಾರಿ ಮೆಹಮಾನ್
CAMDEN	ಕ್ಯಾಮ್ಡೆನ್
INSAAF KI AWAZ	ಇನ್ಸಾಫ್ ಕಿ ಆವಾಜ್
SANATAN	ಸನಾತನ
VISHRAM	ವಿಶ್ರಾಮ
ANGAARA	ಅಂಗಾರಾ
BHAMINI	ಭಾಮಿನಿ
CHIRAAGH	ಚಿರಾಗ್
CHANDRANATH	ಚಂದ್ರನಾಥ್
PIGGOTT	ಪಿಗ್ಗಟ್
UMER	ಉಮರ್
GURPREET	ಗುರುಪ್ರೀತ್
DONAKONDA	ದೊನಕೊಂಡ
KANDARI	ಕಂಡಾರಿ
HANNAN	ಹನ್ನಾನ್
SARIT	ಸರಿತ್
BOLDA	ಬೋಲ್ಡಾ
RANJIT FERNANDO	ರಂಜಿತ್ ಫರ್ನಾಂಡೊ
UKHRUL	ಉಕ್ರುಲ್
MAUSMI	ಮೌಸ್ಮಿ
DHABAN	ಧಾಬನ್
TACONIC	ಟ್ಯಾಕೊನಿಕ್
YOGEN_DAR	ಯೋಗೇಂದ್ರ
GALAXY ENTERTAINMENT	ಗ್ಯಾಲೆಕ್ಸಿ ಎಂಟರ್‌ಟೈನ್ಮೆಂಟ್
NISHAN-E-JUNG	ನಿಶಾನ್-ಎ-ಜಂಗ್
MUKULA	ಮುಕುಲಾ
JAGADHIDH	ಜಗದೀಧ್
KERINCI SEBLAT	ಕೆರಿಂಚಿ ಸೆಬ್ಲಟ್
IQBAL SIKANDER	ಇಕ್ಬಾಲ್ ಸಿಕಂದರ್
CHAKRA	ಚಕ್ರ
Misal	ಮಿಸಾಲ್
ARLAIS	ಅರ್ಲೇಸ್
WINNIE MANDELA	ವಿನ್ನೀ ಮಂಡೇಲಾ
XIOMARA	ಜಿಯೋಮರ
NAFRAT	ನಫರತ್
MANNAN	ಮನ್ನಾನ್
Waiz	ವೈಜ್
MEG	ಮೇಗ್
ASHOK MALHOTRA	ಅಶೋಕ್ ಮಲ್ಹೋತ್ರಾ
Fort-de-france	ಫೋರ್ಟ್-ಡಿ-ಫ್ರಾನ್ಸ್
NATIONAL ORDER OF QUEBEC	ನ್ಯಾಶನಲ್ ಆರ್ಡರ್ ಆಫ್ ಕ್ಯೂಬೆಕ್
FORT PAMPUS	ಫೋರ್ಟ್ ಪಾಂಪಸ್
APRADHI	ಅಪರಾಧೀ
AMURT	ಅಮೂರ್ತ್
NICOSIA	ನಿಕೋಸಿಯಾ
GREY CUP	ಗ್ರೇ ಕಪ್
CLEAVANT	ಕ್ಲೀವಾಂಟ್
PETER AND PAUL FORTRESS	ಪೀಟರ್ ಅಂಡ್ ಪಾಲ್ ಫೋರ್ಟ್‌ರೆಸ್
PERKIN MEDAL	ಪೆರ್ಕಿನ್ ಮೆಡಲ್
JAGJIT	ಜಗಜೀತ್
Gurjari	ಗುರ್ಜರಿ
YUDHISTHIR	ಯುಧಿಷ್ಟರ್
MAN OF THE YEAR/PERSON OF THE YEAR	ಮ್ಯಾನ್ ಆಫ್ ದ ಈಯರ್/ಪರ್ಸನ್ ಆಫ್ ದ ಈಯರ್
IVI	ಇವಿ
LAUREUS	ಲಾರೆಸ್
INAYAT	ಇನಾಯತ್
WARDHA	ವಾರ್ಧಾ
AMADEUS MOZART	ಅಮೆಡ್ಯೂಸ್ ಮೋಜಾರ್ಟ್
Silvassa	ಸಿಲ್ವಸ್ಸಾ
LAGOS	ಲಾಗೋಸ್
HOTTON	ಹಾಟನ್
PORT ELIZABETH	ಪೋರ್ಟ್ ಎಲಿಜಬೆತ್
SONAALEE	ಸೊನಾಲೀ
ANVIL	ಅನ್ವಿಲ್
MARISELA	ಮ್ಯಾರಿಸೆಲಾ
INAYAT KHAN	ಇನಾಯತ್ ಖಾನ್
ROCHEFORT	ರಾಶ್ಫೋರ್ಟ್
HABARI	ಹಾಬರಿ
SHIKHAR	ಶಿಖರ್
JURMANA	ಜುರ್ಮಾನಾ
JOSHILAY	ಜೋಶಿಲೆ
MERI BIWI KI SHAADI	ಮೇರಿ ಬೀವಿ ಕೀ ಶಾದಿ
HIGH ISLAND RESERVOIR	ಹೈ ಐಲ್ಯಾಂಡ್ ರಿಜರ್ವಾಯರ್
TAMALIKA	ತಮಲಿಕಾ
RAGHUKUL	ರಘುಕುಲ
UNIVERSITY OF STIRLING	ಯುನಿವರ್ಸಿಟಿ ಆಫ್ ಸ್ಟರ್ಲಿಂಗ್
ING VYSYA BANK	ಐಎನ್‌ಜಿ ವೈಶ್ಯಾ ಬ್ಯಾಂಕ್
CELEBRATION COMMUNITY	ಸೆಲೆಬ್ರೇಶನ್ ಕಮ್ಯೂನಿಟಿ
IAIN BUTCHART	ಇಯಾನ್ ಬುಚಾರ್ಟ್
VEENAPANI	ವೀಣಾಪಾಣಿ
BANAS	ಬನಾಸ್
FRANKLIN ROOSEVELT	ಫ್ರಾಂಕ್ಲಿನ್ ರೂಸೆವೆಲ್ಟ್
AADHARSHILA	ಆಧಾರಶೀಲಾ
MARGE	ಮಾರ್ಗ್
PETER STRASSER	ಪೀಟರ್ ಸ್ಟ್ರಾಸರ್
UNNAT	ಉನ್ನತ್
DASTAN	ದಾಸ್ತಾನ್
SAMEER DIGHE	ಸಮೀರ್ ದಿಘೆ
BARHARWA JUNCTION	ಬರಹಾರ್ವಾ ಜಂಕ್ಷನ್
WICHHODA	ವಿಛೋಡಾ
FINNEA	ಫಿನಿಯಾ
JAULEE	ಜೌಲೀ
KOTWAL	ಕೋತ್ವಾಲ್
FORT WILLIAM HENRY	ಫೋರ್ಟ್ ವಿಲಿಯಮ್ ಹೆನ್ರಿ
SHYAM TELECOM	ಶ್ಯಾಮ್ ಟೆಲಿಕಾಮ್
DANTEWADA	ಡಾಂಟೆವಾಡ
CELTIC	ಸೆಲ್ಟಿಕ್
MORTIMER	ಮಾರ್ಟಿಮರ್
MORTIMER	ಮೋರ್ಟಿಮರ್
KISHWAR	ಕಿಶ್ವರ್
RASAL	ರಸಾಲ್
TARANEKAR	ತರಾಣೆಕರ್
SHATRANJ	ಶತರಂಜ್
ARUMUGAN	ಆರುಮುಗನ್
GOLDA	ಗೊಲ್ಡಾ
HARIR	ಹರೀರ್
GAWAAHI	ಗವಾಹಿ
KAJJALI	ಕಜ್ಜಾಲಿ
UNIVERSITY OF EDINBURGH	ಯುನಿವರ್ಸಿಟಿ ಆಫ್ ಎಡಿನ್‌ಬರ್ಗ್
MUNZIR	ಮುಂಜಿರ್
ANJUSHREE	ಅಂಜುಶ್ರೀ
FISH RIVER CANYON	ಫಿಶ್ ರಿವರ್ ಕ್ಯಾನ್ಯೋನ್
SAMJHAUTA	ಸಂಜೌತಾ
SAINT MICHAEL'S ACADEMY, CHENNAI	ಸೆಂಟ್ ಮೈಕೇಲ್ ಅಕಾಡೆಮಿ, ಚೆನ್ನೈ
LILONGWE	ಲಿಲಾಂಗ್ವೆ
PRAKAASH	ಪ್ರಕಾಶ
NORTHAMPTON UNIVERSITY COLLEGE	ನಾರ್ಥಾಂಪ್ಟನ್ ಯುನಿವರ್ಸಿಟಿ ಕಾಲೇಜ್
GREECE	ಗ್ರೀಸ್
CARDINAL HEALTH	ಕಾರ್ಡಿನಲ್ ಹೆಲ್ತ್
PATTHAR KI LAKEER	ಪತ್ಧರ್ ಕಿ ಲಕೀರ್
ORRICK	ಒರಿಕ್
CAPE BRETON	ಕೇಪ್ ಬ್ರೆಟೊನ್
VALENTINA	ವ್ಯಾಲಂಟಿನಾ
FRENCH OPEN CHAMPIONS	ಫ್ರೆಂಚ್ ಓಪನ್ ಚಾಂಪಿಯನ್ಸ್
BAHIRU	ಬಹಿರೂ
HAMOOD	ಹಮೂದ್
MARIO	ಮಾರಿಯೊ
QUESTA	ಕ್ವೆಸ್ಟಾ
GAZELLE	ಗಜೆಲೀ
AULAVIK	ಔಲಾವಿಕ್
HSBC HOLDINGS	ಎಚ್ಎಸ್‌ಬಿಸಿ ಹೋಲ್ಡಿಂಗ್ಸ್
ABDUL WARITH	ಅಬ್ದುಲ್ ವರೀತ್
ASHOK PATEL	ಅಶೋಕ್ ಪಟೇಲ್
MITSUBISHI MOTORS	ಮಿತ್ಸುಬಿಷಿ ಮೋಟರ್ಸ್
ENDESA	ಎಂಡೆಸಾ
BHADKAMKAR	ಭಡಕಾಮ್ಕರ್
ALMANIJ	ಅಲ್ಮನಿಜ್
GURHI	ಗುರ್ಹಿ
PATANGA	ಪತಂಗಾ
SHIBLI	ಶಿಬ್ಲಿ
Bhitaura	ಭಿಟೌರಾ
MOIRA	ಮೋಯಿರಾ
GADAGAD	ಗದಾಗದ್
NISHAN DANKA	ನಿಶಾನ್ ಡಂಕಾ
SHAWNA	ಶಾನಾ
FLANN	ಫ್ಲಾನ್
THAYER	ಥಾಯೆರ್
ANASTACIA	ಎನಸ್ತೇಷಿಯಾ
NAOKI PRIZE	ನಾಯ್ಕಿ ಪ್ರೈಜ್
KRISHNA SUDAAMA	ಕೃಷ್ಣ ಸುದಾಮಾ
Gibson	ಗಿಬ್ಸನ್
NAVED	ನವೆದ್
SAMOD	ಸಮೊದ್
NASEEM	ನಸೀಮ್
LOUANNA	ಲುವಾನ್ನಾ
DAUSNI	ದೌಸ್ನಿ
NAGIN AUR SUHAGAN	ನಾಗಿನ್ ಔರ್ ಸುಹಾಗನ್
MARVIN	ಮಾರ್ವಿನ್
MADMUST	ಮದಮಸ್ತ್
GIDDALUR	ಗಿದ್ದಲೂರ್
YORKSHIRE DALES	ಯಾರ್ಕ್‌ಶೈರ್ ಡೇಲ್ಸ್
SCHIPHOL	ಶಿಫೋಲ್
ACTIONS SEMICONDUCTOR	ಆಕ್ಷನ್ಸ್ ಸೆಮಿಕಂಡಕ್ಟರ್
Bahir	ಬಹಿರ್
Juliet	ಜೂಲಿಯಟ್
Makia	ಮಾಕಿಯಾ
JIM LEHRER	ಜಿಮ್ ಲೆಹರರ್
BULWARK	ಬುಲ್‌ವಾರ್ಕ್
BHADRACHALAM	ಭದ್ರಾಚಲಂ
KARIK	ಕೇರಿಕ್
PAT LOWTHER AWARD	ಪತ್ ಲೋವ್ತರ್ ಅವಾರ್ಡ್
BIDRE	ಬೀದರ್
STUART	ಸ್ಟುವರ್ಟ್
BOB DYLAN	ಬಾಬ್ ಡಿಲೆನ್
ASWAN DAMS	ಆಸ್ವಾನ್ ಡ್ಯಾಮ್
GANASHAKTI	ಜನಶಕ್ತಿ
DUF	ಡಫ್
KHUSHBOO	ಖುಶಬೂ
LUBANA	ಲುಬಾಣಾ
JAANHVEKAR	ಜಾನ್ಹವೇಕರ್
MRADUTAA	ಮೃದುತಾ
FATEHPUR SEKHAWATI	ಫತೇಪುರ್ ಶೆಖಾವತಿ
DAMINI	ದಾಮಿನಿ
Neelakshi	ನೀಲಾಕ್ಷಿ
JOVAN	ಜೋವನ್
SAJIV MURTI	ಸಜೀವ್ ಮೂರ್ತಿ
ADYAN	ಆದ್ಯನ್
ABHIBHAV	ಅಭಿಭಾವ್
JECY JAMES	ಜೇಸಿ ಜೇಮ್ಸ್
MADANAMOHAN	ಮದನಮೋಹನ
HAMARI MAZIL	ಹಮಾರಿ ಮಂನ್ಜಿಲ್
PYAR KI BAATEN	ಪ್ಯಾರ್ ಕಿ ಬಾತೇ
RIGHT LIVELIHOOD AWARD	ರೈಟ್ ಲೈವ್‌ಲಿಹುಡ್ ಅವಾರ್ಡ್
ERNAKULAM JUNCTION	ಎರ್ನಾಕುಲಮ್ ಜಂಕ್ಷನ್
VISHAKHADUTT	ವಿಶಾಖದತ್
CELLEBES	ಸೆಲ್ಲಿಬೆಸ್
ALIMAA	ಅಲಿಮಾ
RANE BRAKE	ರಾಣೆ ಬ್ರೇಕ್
LAMBODAR	ಲಂಬೋದರ
Chiheru	ಚಿಹೆರು
Aadinaraayan	ಆದಿನಾರಾಯಣ
Kutumbe	ಕುಟುಂಬೆ
LINCOLN UNIVERSITY	ಲಿಂಕನ್ ಯುನಿವರ್ಸಿಟಿ
ANSHUL	ಅಂಶುಲ್
PADAM	ಪದಮ್
ABHIMAAN	ಅಭಿಮಾನ್
CONGRESSIONAL GOLD MEDAL	ಕಾಂಗ್ರೇಷ್ನಲ್ ಗೋಲ್ಡ್ ಮೆಡಲ್
GULZARILAL	ಗುಲ್ಜಾರಿಲಾಲ್
JASBEER	ಜಸ್ಬೀರ್
KALLIMA	ಕಾಲಿಮಾ
MERA PATI SIRF MERA HAI	ಮೇರಾ ಬತಿ ಸಿರ್ಫ್ ಮೇರಾ ಹೈ
DUNIYA HAI DIL WALON KI	ದುನಿಯಾ ಹೈ ದಿಲವಾಲೋ ಕೀ
HUJAYMAH	ಹುಜೇಮಾ
JENNA	ಜೆನ್ನಾ
TRUDE	ಟ್ರೂಡ್
MAMA BHANJA	ಮಾಮಾ ಭಾಂಜಾ
GUNUNG PALUNG	ಗುನುಂಗ್ ಪಲುಂಗ್
SAINT FRANCIS D'ASSISI HIGH SCHOOL	ಸೆಂಟ್ ಫ್ರಾನ್ಸಿಸ್ ಡಿಅಸಿಸಿ ಹೈ ಸ್ಕೂಲ್
MARJANE	ಮಾರ್ಜನೆ
GASTON	ಗ್ಯಾಸ್ಟನ್
DEVASHISH	ದೇವಶೀಶ್
YASHODHAN	ಯಶೋಧನ್
CIANNA	ಸಿಯಾನಾ
SANJUSHREE	ಸಂಜುಶ್ರೀ
BHAGWAN SARE SANSAR MEIN	ಭಗವಾನ್ ಸಾರೆ ಸನ್ಸಾರ್ ಮೆ
KADUTHURUTHI	ಕಾಡುತುರುತಿ
FORT BOKAR	ಫೋರ್ಟ್ ಬೋಕರ್
JAYASHEKHAR	ಜಯಶೇಖರ್
DAVE MOHAMMED	ಡೇವ್ ಮೊಹಮ್ಮದ್
MATHMESH	ಮಥಮೇಶ್
MUNEEB	ಮುನೀಬ್
NAI DUNIYA	ನಯೀ ದುನಿಯಾ
MU'ADH	ಮೌಧ್
DARENA	ಡರೇನಾ
VIPAT	ವಿಪಟ್
GUJARATI	ಗುಜರಾತಿ
ANANDINI	ಆನಂದಿನಿ
LAKHON MEIN EK	ಲಾಖೋಂ ಮೆ ಏಕ್
HICKORY STREET PRESBYTERIAN	ಹಿಿಕೋರಿ ಸ್ಟ್ರೀಟ್ ಪ್ರೆಸ್ಬಿಟೇರಿಯನ್
ATANU	ಅತನು
WAJIHAH	ವಜೀಹ
LOWELL	ಲಾವೆಲ್
VASILIS	ವೆಸಿಲಿಸ್
KHAN DOST	ಖಾನ್ ದೋಸ್ತ್
BHAJARAAM	ಭಜರಾಮ್
MEGHA	ಮೇಘಾ
PHANISHWAR	ಫಣೀಶ್ವರ್
ANGELA	ಏಂಜೆಲಾ
CAESAR	ಸೀಸರ್
Tongo	ಟೋಂಗೋ
PALEY	ಪಲೇ
AADARSHI	ಆದರ್ಶಿ
MUNEESH	ಮುನೀಶ್
SADAF	ಸದಫ್
JAYENDRA	ಜಯೇಂದ್ರ
ALUABARI ROAD	ಅಲೌಬಾರಿ ರೋಡ್
Thornton	ಥಾರ್ನ್‌ಟನ್
RAHABAR	ರಹಬರ್
ANALIESE	ಅನಲೀಸ್
TARUNIMA	ತರುಣಿಮಾ
Gagan	ಗಗನ್
BELIEVERS	ಬೆಲಿವೆರಿಸ್
SUSHEET	ಸುಶೀತ್
ALTAAF	ಅಲ್ತಾಫ್
NISHREYASAL	ನಿಶ್ರೇಯಸಲ್
TADAP	ತಡಪ್
HASSIUM	ಹ್ಯಾಸಿಯಂ
PRECISION	ಪ್ರಿಸಿಶನ್
SAVITAA	ಸವಿತಾ
DUBAHA	ದುಬಾಹಾ
AKRAM KHAN	ಅಕ್ರಮ ಖಾನ್
RAMAT-GAN	ರಮತ್-ಗನ್
DEERE	ಡೀರಿ
DARIA	ಡರಿಯಾ
COLIGNY	ಕೊಲಿನಿ
LEEDS	ಲೀಡ್ಸ್
BOKHA	ಬೋಖಾ
PENSIONER	ಪೆಂಶನರ್
WILLIAM RANDOLPH HEARST	ವಿಲಿಯಮ್ ರೆಂಡೋಲ್ಫ್ ಹರ್ಸ್ಟ್
GARGEKAR	ಗಾರ್ಗೆಕರ್
Vidyashankar	ವಿದ್ಯಾಶಂಕರ್
BRITISH GAS	ಬ್ರಿಟಿಶ್ ಗ್ಯಾಸ್
LAS VEGAS	ಲಾಸ್ ವೇಗಸ್
SHEFALIKA	ಶಿಫಾಲಿಕಾ
SUREKHA	ಸುರೇಖ
GOLD MEDAL OF THE ROYAL ASTRONOMICAL SOCIETY	ಗೋಲ್ಡ್ ಮೆಡಲ್ ಆಫ್ ದ ರಾಯಲ್ ಅಸ್ಟ್ರಾನಾಮಿಕಲ್ ಸೊಸೈಟಿ
MALONE	ಮಾಲೋನ್
ANAAMAY	ಅನಾಮಯ್
Beaverhead	ಬಿವರ್‌‌ಹೆಡ್
GRAHAM ROOPE	ಗ್ರಹಾಂ ರೂಪ್
AADINAARAYAN	ಆದಿನಾರಾಯಣ
Abhinabhaas	ಅಭಿನಭಾಸ್
SALIFAH	ಸಲೀಫಾ
MESSETURM	ಮೆಸೆಟರ್ಮ್
GRAHASTHI	ಗೃಹಸ್ಥಿತಿ
BARI'	ಬಾರಿ
AACHARYASUTAA	ಆಚಾರ್ಯಸುತಾ
MAANASEE	ಮಾನಸೀ
HOOR-E-ARAB	ಹೂರ್-ಎ-ಅರಬ್
CRYSTAL GLOBE	ಕ್ರಿಸ್ಟಲ್ ಗ್ಲೋಬ್
GANNON	ಗೆನನ್
SHANDAAR	ಶಾನ್ದಾರ್
IPCA LABS	ಇಪ್ಕಾ ಲ್ಯಾಬ್ಸ್
Pete	ಪೀಟ್
OREGON	ಓರೆಗಾನ್
AANGAN KI KALI	ಆಂಗನ್ ಕೀ ಕಲೀ
