NADHIR	நாதிர்
SONYA	சோன்யா
CAROLENA	காரோலீனா
KDDI	கட்டி
RITE AID	ரைட் ஏய்ட்
TANIZAKI PRIZE	தனிஸாக்கி ப்ரைஸ்
WILDEWOOD CHRISTIAN	வைல்ட்வுட் கிறிஸ்டியன்
GURPREET	குர்ப்ரீத்
INGEBORG BACHMANN PRIZE	இங்கிபோர்க் பேக்மேன் ப்ரைஸ்
ROCHAK	ரோசக்
CIARA	சியார்ரா
SARIT	சரித்
MAYUR	மயூர்
Sarwar	சர்வார்
NAFASAT	நஃபாசட்
PHADATARE	பதாதரே
Maqbul	மக்பூல்
MAUSMI	மௌசமி
EMMY	எம்மத்
TACONIC	டாகோனிக்
YOGEN_DAR	யோகேந்தர்
CHAKIA	சக்கியா
GUJARAT SAMACHAR	குஜ்ராத் சமாச்சர்
JAGADHIDH	ஜகதீத்
GAZAL	கஜல்
KERINCI SEBLAT	கெரின்சி செப்லாத்
IQBAL SIKANDER	இக்பால் சிக்கந்தர்
CHAKRA	சக்ரா
INIGO	இனிகோ
MARD KI ZABAAN	மார்த் கி ஸபான்
TAPAN	டபான்
TAPAN	தபன்
LAVERNE	லவெர்ன்
MEG	மேக்
NATIONAL ORDER OF QUEBEC	நேஷனல் ஆர்டர் ஆஃப் க்யூபெக்
DOUGLAS HONDO	டக்ளஸ் ஹோண்டோ
NATIONAL GALLERY OF CANNADA	நேஷனல் கேலரி ஆஃப் கேனடா
PRINCESS ROYAL	பிரின்சஸ் ராயல்
GREY CUP	க்ரே கப்
ANATOMY	அனாடாமி
GUARDIAN AWARD	கார்டியன் அவார்ட்
RUDI BRYSON	ரூடி ப்ரைசன்
CLEAVANT	கிளீவண்ட்
ANTAH	அன்டா
BHOURA	போரா
ARISTOPHANES	அரிஸ்டோஃபேன்ஸ்
DO BAHADUR	தோ பஹதுர்
YUDHISTHIR	யுதிஷ்திர்
Darrius	டாரியஸ்
INAYAT	இனாயத்
Bacheli	பச்சேலி
MAHAAMANTREE	மஹாமந்த்ரி
ASHADH	ஆஷாத்
AVI	அவி
PRUTH CAMPAIGN	ப்ரூத் காம்பைன்
NURSING	நர்ஸிங்
KALIYAN	கலியாண்
ANVIL	அன்வில்
ANVIL	ஆன்வில்
MARISELA	மரீசெலா
Vaamadevee	வாமதேவீ
WALT DISNEY	வால்ட் டிஸ்னி
INAYAT KHAN	இனாயாத் கான்
JAPAN	ஜப்பான்
WOLF PRIZE IN AGRICULTURE	உல்ஃப் ப்ரைஸ் இன் அக்ரிகல்ச்சர்
ROJOK	ரொஜோக்
DILHARA LOKUHETTIGE	தில்ஹாரா லோகுஹெட்டிகே
Mahima	மஹிமா
EK HI BHOOL	ஏக் ஹி பூல்
MERA GAON	மேரா காஓன்
FORT GRANGE	ஃப்போர்ட் கிரான்ஜ்
BLAND	பிளாண்ட்
CORNERSTONE	கார்னர்ஸ்டோன்
RAGHUKUL	ரகுகுல்
MADHUSUDAN	மதுசுதன்
CELEBRATION COMMUNITY	செலிபிரேஷன் கம்யுனிட்டி
VEENAPANI	வீணாபானி
FANISHWAR	ஃபனிஷ்வர்
NAYANA	நயனா
JUPITER BIO	ஜுபிடர் பயோ\
AADHARSHILA	ஆதர்ஷிலா
MARJEAN	மேர்ஜீன்
COALHOUSE	கோல்ஹவுஸ்
CAEL	காயேல்
ATINDER	அத்திந்தெர்
LUTAAOO	லுதாவூ
WASANHAR	வாசன்ஹர்
STAR OF MYSORE	ஸ்டார் ஆஃப் மைசூர்
BARHARWA JUNCTION	பார்ஹார்வா ஜங்ஷன்
PURBA	புர்பா
FORT BRANCH	ஃப்போர்ட் பிரான்ச்
PRADEEP JAYAPRAKASHDARAN	ப்ரதீப் ஜெயப்ரகாஷ்தரண்
KOTWAL	கோத்வால்
SUMITRANANDAN PANT	சுமித்ராநந்தன் பண்ட்
PURBI	புர்பி
DANTEWADA	தன்தேவாதா
CHHAPI	சாப்பி
DEVYANI	தேவயாணி
DHENKANAL	தென்கனல்
DHENKANAL	தேன்கனால்
JASPAL	ஜஸ்பால்
HICLIFF	ஹிகிளிப்
ADELINE	அடெலின்
TARANEKAR	தாரனேகர்
SHATRANJ	ஷாத்ராஞ்
Saji	சாஜி
NIZAM	நிஸாம்
RESHMI RUMAL	ரேஷ்மி ருமால்
PYAR KE DO CHAR DIN	பியார் கே தோ சார் தின்
CAPUCINE	காபூசின்
NIC POTHAS	நிக் போத்தாஸ்
GOLDY	கோல்டீ
KAIROS	கைரோஸ்
NETWORK	நெட்வொர்க்
SAMJHAUTA	சம்ஜோதா
SAINT MICHAEL'S ACADEMY, CHENNAI	செயிண்ட் மைக்கெல்ஸ் அகாடெமி, சென்னை
HISHAAM	ஹிஷாம்
PRAKAASH	பிரகாஷ்
NATIONAL MUSEUM OF DENMARK	நேஷனல் மியூஸியம் ஆஃப் டென்மார்க்
Amadhya	அமாத்யா
ORRICK	ஓரிக்
ANOKHA RISHTA	அனோகா ரிஷ்டா
CAPE BRETON	கேப் ப்ரேடன்
VALENTINA	வாலண்டினா
VERMEULEN	வெர்ம்யூலன்
SHAMISEN	ஷமிசென்
DETROJ	தேட்ரோஜ்
BAHIRU	பாஹிரு
Deepanshu	தீபன்ஷு
QUESTA	குவெஸ்டா
DEOGARH	டியோகார்
QAYAMAT	கயாமத்
JHABBAR	ஜாப்பர்
GLENDA	கிலென்டா
ACHAND	அசந்த்
TATA SONS	டாடா சன்ஸ்
DIELLA	டியலா
RHENIUM	ரேனியம்
MOTILAL	மோதிலால்
FORT MEIGS	ஃப்போர்ட் மேயிக்ஸ்
ANTHONY IRELAND	ஆண்டனி அயர்லேண்ட்
ABDUL MUQIT	அப்துல் முக்கித்
BAALESHVAR	பாலேஷ்வர்
PATANGA	பதங்கா
JAPAN TOBACCO	ஜப்பான் டோபாக்கோ
PIXELPLUS	பிக்ஸல்பிலஸ்
ANNAPURNAA	அன்னாபுர்னா
WHOOPI GOLDBERG	ஊஃப்பி கோல்ட்பர்க்
FLANN	ஃப்ளான்
THAYER	தயேர்
ANASTACIA	அனஸ்தஷியா
NAOKI PRIZE	நாவோக்கி ப்ரைஸ்
KRISHNA SUDAAMA	கிருஷ்ணா சுதாமா
Vaartha	வார்தா
ZARRAH	ஜரா
GUEST HOUSE	கெஸ்ட் ஹவுஸ்
NASEEM	நஸீம்
LOUANNA	லுவானா
DAUSNI	தௌஸ்னி
GURUVAYUR	குருவாயூர்
MARVIN	மர்வின்
WOODSTOCK HISTORICAL SOCIETY	உட்ஸ்டாக் ஹிஸ்டாரிக்கல் சொசைட்டி
ABDUL QADIR	அப்துல் காதிர்
ELITA	எலிட்டா
KARIS	காரீஸ்
HAMI	ஹமி
MUSEUM OF JEWISH HERITAGE	மியூஸியம் ஆஃப் ஜூவிஷ் ஹெரிட்டேஜ்
WURTTEMBURG	வுர்ட்டெம்பர்க்
AFJAL	அஃப்ஜல்
ASLIYAT	அஸ்லியத்
KARIK	காரிக்
BROOKLYN MUSEUM	புரூக்லின் மியூஸியம்
SUHAYB	சுஹயிப்
ASWAN DAMS	அஸ்வன் டேம்ஸ்
KHUSHBOO	குஷ்பு
LUBANA	லுபானா
MAHARSHI	மஹர்ஷி
MAHARSHI	மஹார்ஷி
AMBA	அம்பா
VIKRAMJIT	விக்ரம்ஜித்
DAMINI	தாமினி
RENVILLE	ரென்வில்லெ
DOMBIVILI	டோம்பிவிலி
ZEROUN	ஜெரௌன்
NANDALAAL	நந்தலால்
ABHIBHAV	அபிபாவ்
GRANT FLOWER	க்ராண்ட் ஃப்ளவர்
HANUMAN JANM	ஹனுமன் ஜன்ம்
BUNNY	பன்னி
DALLAS MUSEUM OF ART	டல்லாஸ் மியூஸியம் ஆஃப் ஆர்ட்
PYAR KI BAATEN	பியார் கி பாத்தென்
SEETA SWAYAMVAR	சீதா ஸ்வயம்வர்
KAMALIKA	கமலிகா
CELLEBES	செல்லபெஸ்
ORINOCO	ஒரினோகோ
ORINOCO	ஓரினோகோ
AUYUITTUQ	ஆயிட்டுக்
KANE	கேன்
RAVI SHASTRI	ரவி ஷாஸ்த்ரி
RED ROSE	ரெட் ரோஸ்
BHAVNAGAR TERMINUS	பாவ்நகர் டெர்மினஸ்
SUNIL JAYASINGHE	சுனில் ஜெயசிங்கே
PYAR KI RAAT	பியார் கி ராத்
PHILANDER	ஃபிலாண்டர்
CHIRAG	சிராக்
JASBEER	ஜஸ்பீர்
RANDHIR SINGH	ரந்திர் சிங்
TRUDE	ட்ரூட்
TAUSEEF AHMED	டௌசீஃப் அகமத்
TRUDA	ட்ரூடா
PUSHPITA	புஷ்பிதா
AARIF	ஆரிஃப்
DEVASHISH	தேவஷிஷ்
GORA AUR KALA	கோரா ஔர் காலா
CIANNA	சியான்னா
DE ZEVEN PROVINCIEN	டி ஸேவென் புரோவிஷியன்
KADUTHURUTHI	காடுதுருத்தி
DAVENDRA	தேவேந்த்ரா
Mrigayu	ம்ரிகயு
DIVAAKAR	திவாகர்
JAYASHEKHAR	ஜெயசேகர்
MATHMESH	மத்மேஷ்
JWALA	ஜ்வாலா
BILQIS	பில்கிஸ்
HICKORY STREET PRESBYTERIAN	ஹிக்கரி ஸ்டிரீட் பிரெஸ்பைடிரியன்
GUJARATI	குஜ்ராத்தி
ANANDINI	ஆனந்தினி
TIRATH	திராத்
TARZAN AND COBRA	டார்ஸன் அண்ட் கோப்ரா
VADAN	வதன்
QATIL AUR ASHIQ	காதில் அவுர் ஆஷிக்
SUVEN LIFE SCIE	சுவென் லைஃப் சைன்ஸ்
AFASARA	அஃபசாரா
SUMANOLATA	சுமனோலதா
BHAJARAAM	பஜராம்
PICO DE TANCÍTARO	பீகோ டீ டான்சிடாரோ
PYAR KA MANDIR	பியார் கா மந்திர்
JERAULD	ஜெரால்ட்
ANGELA	ஏன்ஜெலா
GODAVARI FERTILIZERS AND CHEMICALS	கோதாவரி ஃபெர்டிலைசர்ஸ் அண்ட் கெமிக்கல்ஸ்
Pannagesh	பன்னாகேஷ்
NAVRANG	நவ்ரங்
Cissy	சிசெரோ
Taneja	தனேஜா
Niles	நைல்ஸ்
RAAJ	ராஜ்
TATINI	தாதினி
IMTIYAZ	இம்டியாஸ்
KYNTHIA	கின்த்யா
RAHABAR	ரஹபர்
DILBARI	தில்பரி
AGREEMENT	அக்ரீமெண்ட்
ANALIESE	அனாலியஸ்
TARUNIMA	தருணிமா
BANK ONE TOWER	பேங்க் ஒன் டவர்
TIRUVANNAMALAI	திருவண்ணாமலை
RATNABH	ரத்னப்
ILYAS	இலியாஸ்
ILYAS	இலையாஸ்
SAIRAH	சைரா
ANOKHI ADA	அன்கி அடா
ITTEFAQ	இட்டஃபக்
TAKHAT SHRI KESGARH SAHIB, ANANDPUR SAHIB (PUNJAB)	தகத் ஸ்ரீ கேஸ்கர் சாஹிப், ஆனந்த்பூர் சாஹிப் (பஞ்சாப்)
HOLLYWOOD WALK OF FAME	ஹாலிவுட் வாக் ஆஃப் ஃபேம்
DUBAHA	துபாஹா
AKRAM KHAN	அக்ரம் கான்
GROUPE CAISSE DÉPARGME	குரூப் கைசே டீபார்க்மே
Sawatch	சவாட்ச்
GHODGAONKAR	கோத்கோன்கர்
COLIGNY	கோலிக்னி
TERRENCE	டெரன்ஸ்
MEENA	மீனா
Husnaaraa	ஹுஸ்னாரா
GARGEKAR	கர்கேகர்
DEMPSTER	டெம்ப்ட்ரஸ்
SOHNI MAHIWAL	சோஹ்னி மஹிவால்
GULSHAN	குல்ஷான்
ALBORAN	அல்போரன்
SOLAH SATRA	சோலா சாத்ரா
JOHN LANEN	ஜான் லேனன்
TROMBITA	ட்ரோமிட்டா
TARO PHARMACEUTICAL INDUSTRIES	டாரோ பார்மாசெட்டிக்கல் இண்டஸ்டிரீஸ்
Belvandi	பேல்வாண்டி
SALIFAH	சலிஃபா
UMAASUT	உமாசுத்
ALETHEA	அலெதியா
FORT ANNE	ஃப்போர்ட் ஆன்னெ
SHIMIZU	ஷிமிஸு
MILES	மைல்ஸ்
ABIDAH	அபிதா
CRYSTAL GLOBE	க்ரிஸ்டல் க்ளோப்
SHANDAAR	ஷான்தார்
LAGUNAS DE CHACACHUA LAGUNAS DE MONTEBELLO	லகுனாஸ் டீ சாச்சாசுவா லகுனாஸ் டீ மாண்டேபெல்லோ
RINGO STAR	ரிங்கோ ஸ்டார்
Volkswagen	வோல்க்ஸ்வேஜென்
AANGAN KI KALI	ஆன்கன் கி காளி
ORDER OF AGRICULTURAL, COMMERCIAL OR INDUSTRIAL MERIT	ஆர்டர் ஆஃப் அக்ரிகல்சுரல், கமர்ஷியல் ஆர் இண்டஸ்ட்ரியல் மெரிட்
VALLEY FORGE	வேலி ஃப்பார்ஜ்
JEFFREY	ஜெஃப்ரி
JASSI	ஜாஸ்ஸி
BAPAT	பாபத்
FIROZPUR	ஃபிரோஸ்பூர்
BILASPUR	பிலாஸ்பூர்
VIDYUT	வித்யூத்
SYED AKHTAR IMAM QUADRI	சயத் அக்தர இமாம் காத்ரி
HECKENBERG	ஹெக்கென்பெர்க்
KARGAM	கர்காம்
BALANGIR	பலாங்கிர்
PATHOLOGY	பாதோலஜி
RASHI	ராஷி
JAGAT MOHINI	ஜகத் மோகினி
Shurayh	ஷுராய்
GAAYATREE	காயத்ரீ
RANDILYN	ராண்டில்யன்
IOWA	அயோவா
IOWA	ஐயோவா
JATHHAR	ஜத்ஹர்
RUFIYAA	ருஃபியா
MEL GIBSON	மெல் கிப்சன்
IBERIAN	ஐபீரியன்
NEECHA NAGAR	நீச்சா நகார்
NEELESH	நீலேஷ்
AAP KI PARCHHAIYAN	ஆப் கி பரிச்சாயின்
PAVAK	பாவக்
CARLI SIMON	கார்லி சைமன்
BHABHI	பாபி
ILLIAS	இலையாஸ்
AMELIE	அமாலீ
VINEETA	வினீதா
VIMOGH	விமோக்
Utsa	உத்சா
Bahiyyah	பாஹியா
MOBILE	மொபைல்
Kalona	காலோனா
BASANT PANCHAMI	பசந்த் பஞ்சமி
KASAL	கசல்
RANJEET	ரஞ்சித்
NISHITHINI	நிஷிதினி
MERLEY STRIP	மெர்லி ஸ்ட்ரிப்
ARSENIC	ஆர்சீனிக்
BALAJEE	பாலாஜி
NISHOK	நிஷோக்
Abhiru	அபிஹிரு
SADYOJAT	சத்யோஜத்
DHUL FIQAR	துல் ஃபிகார்
GUGLANI	குக்லானி
WALIYAH	வலியா
GOLA BAROOD	கோலா பரூத்
FAIZAH	ஃபைஜா
SIRIUS	சிரியஸ்
GAYA JUNCTION	கயா ஜங்ஷன்
SARYU	சர்யு
SARYU	சார்யூ
ABDUL MANNAAN	அப்துல் மன்னான்
Lowell	லோவெல்
RAFIQUL ALAM	ரஃப்பிகுல் அலாம்
KHANVILKAR	கன்வில்கர்
GURJIT	குர்ஜித்
WALIHAH	வாலிஹா
JIM CARTER	ஜிம் கார்டர்
RIDHDHI	ரித்தி
SALWA	சல்வா
PARANA	பரானா
BHABHAR	பாப்பார்
DULLAHAPUR	துல்லஹாபூர்
MADAN	மதன்
PATKI	பத்கி
Rajasthan	ராஜஸ்தான்
Achaleshvar	அச்சலேஷ்வர்
NACHIYAR KOIL	நாச்சியார் கோவில்
NIRMAYI	நிர்மயீ
SONDRA	சோன்ட்ரா
SULAYMAN	சுலய்மான்
ADISHANKAR	ஆதிஷங்கர்
QUASI-WAR	குவாஸி-வார்
KITTY DUKAKIS	கிட்டி துகாகிஸ்
Sarabnam	சரப்னம்
KEVALKUMAR	கேவால்குமார்
JEEVANKALA	ஜீவன்கலா
Faidah	ஃபைதா
VIJAYSHREE	விஜய்ஸ்ரீ
FORT CLATSOP	ஃப்போர்ட் கிளாட்சாப்
HALIMAH	ஹலிமா
TRISTANA	ட்ரிஸ்டானா
THOM	தாம்
MONTROSE	மான்டிரோஸ்
DAVE RUNDLE	டேவ் ரண்டில்
SACHAAI	ஸச்சாயி
FARID	ஃபரீத்
ORDER OF PUBLIC INSTRUCTION	ஆர்டர் ஆஃப் பப்ளிக் இன்ஸ்ட்ரக்‌ஷன்
SONIPAT	சோனிபத்
Nachiketa	நாச்சிகேதா
KUVALESHAY	குவாலேஷே
SAHIM	சஹிம்
BODY BULIDING	பாடி பில்டிங்
SOUTH ARKET VALLAR	சௌத் ஆர்காட் வல்லர்
BOSCH CHASSIS	போஷ் சேசிஸ்
FARIS	ஃபாரிஸ்
JYOTI BANE JWALA	ஜோதி பனே ஜ்வாலா
VISHNUPAD	விஷ்ணுபாத்
Bombarde	பொம்பார்ட்
SARAKATSANOI FOLKLORE MUSEUM	சராகோட்சனாய் ஃப்போக்லோர் மியூஸியம்
VANAJYOTI	வனஜோதி
Bhutto	பூட்டோ
BRITISH BOOK AWARDS	ப்ரிட்டிஷ் புக் அவார்ட்ஸ்
ANUSOOYA	அனுசூயா
SANCHAYA	சஞ்சயா
Dugdol	துக்டோல்
RAJOURI	ராஜவுரி
KIRIT	கிரித்
ORDER OF THE GOLDEN FLEECE	ஆர்டர் ஆஃப் தி கோல்டன் ஃப்ளீஸ்
